Gene ID,Genomic Location (Gene),Product Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL
PF3D7_1006900,"Pf3D7_10_v3:281,459..283,104(+)","PPPDE peptidase, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,3.4.-.- (Acting on peptide bonds (peptide hydrolases).)
PF3D7_1007000,"Pf3D7_10_v3:284,577..286,302(+)","transmembrane protein 147, putative",null,null,null,null,null,null,GO:0016021,integral component of membrane,null,null,null,null,null,null
PF3D7_1007100,"Pf3D7_10_v3:286,522..287,473(-)","roadblock/LC7 domain-containing protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1007200,"Pf3D7_10_v3:288,383..290,826(-)","rho GTPase-activating protein, putative",null,null,null,null,GO:0007165,signal transduction,null,null,GO:0005096,GTPase activator activity,GO:0007266,Rho protein signal transduction,null,null
PF3D7_1007300,"Pf3D7_10_v3:293,850..295,999(+)","RING zinc finger protein, putative",GO:0016021;GO:0016020,integral component of membrane;membrane,GO:0008270,zinc ion binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1007400,"Pf3D7_10_v3:296,906..297,565(+)","conserved protein, unknown function",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1007500,"Pf3D7_10_v3:298,361..298,687(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1007600,"Pf3D7_10_v3:299,280..299,609(+)","conserved protein, unknown function",GO:0005737;GO:0005622,cytoplasm;intracellular,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1007700,"Pf3D7_10_v3:301,126..305,919(-)",AP2 domain transcription factor AP2-I,null,null,GO:0003700,DNA-binding transcription factor activity,GO:0006355,"regulation of transcription, DNA-templated",GO:0005634,nucleus,GO:0005515;GO:0043565,protein binding;sequence-specific DNA binding,GO:0042493,response to drug,null,null
PF3D7_1007800,"Pf3D7_10_v3:311,397..314,516(-)","conserved Plasmodium protein, unknown function",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1007900,"Pf3D7_10_v3:316,649..318,280(+)","eukaryotic translation initiation factor 3 subunit D, putative",GO:0005737;GO:0005852,cytoplasm;eukaryotic translation initiation factor 3 complex,GO:0003743,translation initiation factor activity,null,null,GO:0005852;GO:0005634,eukaryotic translation initiation factor 3 complex;nucleus,GO:0003743,translation initiation factor activity,GO:0006413,translational initiation,null,null
PF3D7_1008000,"Pf3D7_10_v3:321,011..328,150(+)",histone deacetylase 2,null,null,GO:0016301,kinase activity,GO:0032958,inositol phosphate biosynthetic process,GO:0005634,nucleus,null,null,GO:0032958;GO:0010468,inositol phosphate biosynthetic process;regulation of gene expression,3.5.1.98 (Histone deacetylase),3.5.1.98 (Histone deacetylase)
PF3D7_1008100,"Pf3D7_10_v3:331,246..342,807(+)","zinc finger protein, putative",GO:0005634,nucleus,GO:0008270,zinc ion binding,GO:0006355,"regulation of transcription, DNA-templated",null,null,null,null,null,null,null,null
PF3D7_1008200,"Pf3D7_10_v3:343,733..344,899(-)","endonuclease, putative",null,null,GO:0003677;GO:0003824;GO:0004518,DNA binding;catalytic activity;nuclease activity,GO:0006281,DNA repair,null,null,null,null,null,null,4.2.99.18 (DNA-(apurinic or apyrimidinic site) lyase),4.2.99.18 (DNA-(apurinic or apyrimidinic site) lyase)
PF3D7_1008300,"Pf3D7_10_v3:346,407..346,514(+)","AP-5 complex subunit sigma-1, putative, pseudogene",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1008400,"Pf3D7_10_v3:347,206..348,667(-)","26S protease regulatory subunit 4, putative",GO:0005737,cytoplasm,GO:0005524;GO:0016787,ATP binding;hydrolase activity,GO:0030163,protein catabolic process,GO:0008540,"proteasome regulatory particle, base subcomplex",null,null,GO:0070682;GO:0006511,proteasome regulatory particle assembly;ubiquitin-dependent protein catabolic process,3.6.4.8 (Proteasome ATPase),3.6.4.8 (Proteasome ATPase)
PF3D7_1008500,"Pf3D7_10_v3:351,703..355,593(+)","protein GPR89, putative",null,null,null,null,null,null,GO:0016021,integral component of membrane,null,null,null,null,null,null
PF3D7_1008600,"Pf3D7_10_v3:357,345..358,463(+)","zinc finger (CCCH type) protein, putative",null,null,GO:0046872,metal ion binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1008700,"Pf3D7_10_v3:360,625..362,480(-)",tubulin beta chain,null,null,GO:0005525;GO:0003924,GTP binding;GTPase activity,GO:0007017,microtubule-based process,GO:0020020;GO:0005874;GO:0005634,food vacuole;microtubule;nucleus,GO:0005200,structural constituent of cytoskeleton,GO:0000226;GO:0042493,microtubule cytoskeleton organization;response to drug,null,null
PF3D7_1008800,"Pf3D7_10_v3:365,737..367,146(-)","nucleolar protein 5, putative",null,null,null,null,null,null,GO:0005730,nucleolus,GO:0003723,RNA binding,GO:0006364,rRNA processing,null,null
PF3D7_1008900,"Pf3D7_10_v3:369,199..370,225(-)",adenylate kinase,null,null,GO:0005524;GO:0004017;GO:0019205;GO:0016776,"ATP binding;adenylate kinase activity;nucleobase-containing compound kinase activity;phosphotransferase activity, phosphate group as acceptor",GO:0006139,nucleobase-containing compound metabolic process,GO:0005829;GO:0005634,cytosol;nucleus,GO:0004017,adenylate kinase activity,GO:0006091,generation of precursor metabolites and energy,2.7.4.3 (Adenylate kinase),2.7.4.3 (Adenylate kinase)
PF3D7_1009000,"Pf3D7_10_v3:371,293..372,117(+)","diphthine methyl ester synthase, putative",null,null,GO:0004164;GO:0008168,diphthine synthase activity;methyltransferase activity,GO:0008152;GO:0017183,metabolic process;peptidyl-diphthamide biosynthetic process from peptidyl-histidine,null,null,GO:0004164,diphthine synthase activity,GO:0017183,peptidyl-diphthamide biosynthetic process from peptidyl-histidine,2.1.1.314 (Diphthine methyl ester synthase),2.1.1.98 (Diphthine synthase)
PF3D7_1009100,"Pf3D7_10_v3:372,519..374,072(+)","conserved Plasmodium membrane protein, unknown function",null,null,null,null,null,null,GO:0016020,membrane,null,null,null,null,null,null
PF3D7_1009200,"Pf3D7_10_v3:374,864..377,611(+)","ribonuclease, putative",GO:0005634,nucleus,GO:0004519;GO:0008270,endonuclease activity;zinc ion binding,GO:0006397,mRNA processing,null,null,null,null,null,null,null,null
PF3D7_1009300,"Pf3D7_10_v3:377,906..379,708(-)","conserved Plasmodium protein, unknown function",GO:0005737,cytoplasm,GO:0003824,catalytic activity,GO:0008152,metabolic process,null,null,null,null,null,null,null,null
PF3D7_1009400,"Pf3D7_10_v3:381,361..382,449(+)","zinc finger protein, putative",null,null,GO:0003676,nucleic acid binding,null,null,GO:0005634,nucleus,null,null,null,null,null,null
PF3D7_1009500,"Pf3D7_10_v3:383,044..384,793(-)","metalloprotease, putative",null,null,null,null,null,null,null,null,null,null,null,null,3.4.24.- (Metalloendopeptidases.),null
PF3D7_1009600,"Pf3D7_10_v3:386,976..388,442(+)","protein phosphatase PPM10, putative",null,null,GO:0003824,catalytic activity,null,null,GO:0020011,apicoplast,null,null,null,null,3.1.3.16 (Protein-serine/threonine phosphatase),3.1.3.16 (Protein-serine/threonine phosphatase)
PF3D7_1009700,"Pf3D7_10_v3:389,504..391,165(-)","tubulin--tyrosine ligase, putative",null,null,null,null,GO:0006464,cellular protein modification process,null,null,null,null,null,null,6.3.2.25 (Tubulin--tyrosine ligase),6.3.2.25 (Tubulin--tyrosine ligase)
PF3D7_1009800,"Pf3D7_10_v3:393,765..397,993(-)","conserved Plasmodium membrane protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1009900,"Pf3D7_10_v3:399,207..401,778(+)","heptatricopeptide repeat-containing protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1010000,"Pf3D7_10_v3:401,876..402,711(-)","ribosomal protein L43, mitochondrial, putative",null,null,null,null,null,null,GO:0005739,mitochondrion,null,null,null,null,null,null
PF3D7_1010100,"Pf3D7_10_v3:403,679..404,575(+)","PI31 domain-containing protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1010200,"Pf3D7_10_v3:405,017..410,536(-)","DNA2/NAM7 helicase, putative",GO:0005737,cytoplasm,GO:0005524;GO:0003677;GO:0003723;GO:0004386;GO:0016787;GO:0008270,ATP binding;DNA binding;RNA binding;helicase activity;hydrolase activity;zinc ion binding,null,null,null,null,null,null,null,null,3.6.4.12 (DNA helicase),3.6.4.12 (DNA helicase)
PF3D7_1010300,"Pf3D7_10_v3:414,732..415,328(+)","succinate dehydrogenase subunit 4, putative",GO:0016021,integral component of membrane,null,null,GO:0006810,transport,null,null,null,null,null,null,1.3.5.1 (Succinate dehydrogenase (quinone)),1.2.1.- (With NAD(+) or NADP(+) as acceptor.)
PF3D7_1010400,"Pf3D7_10_v3:415,404..417,471(-)","MORN repeat protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,2.7.1.68 (1-phosphatidylinositol-4-phosphate 5-kinase),2.7.1.68 (1-phosphatidylinositol-4-phosphate 5-kinase)
PF3D7_1010500,"Pf3D7_10_v3:417,705..419,318(+)","ankyrin-repeat protein, putative",null,null,GO:0005515,protein binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1010600,"Pf3D7_10_v3:420,185..421,056(-)",eukaryotic translation initiation factor 2 subunit beta,null,null,GO:0003743,translation initiation factor activity,GO:0006413,translational initiation,GO:0005737;GO:0005850;GO:0005634,cytoplasm;eukaryotic translation initiation factor 2 complex;nucleus,GO:0003729;GO:0005515;GO:0003743,mRNA binding;protein binding;translation initiation factor activity,GO:0001731;GO:0006413,formation of translation preinitiation complex;translational initiation,null,null
PF3D7_1010700,"Pf3D7_10_v3:422,961..424,365(+)","dolichyl-phosphate-mannose--protein mannosyltransferase, putative",GO:0005783;GO:0005789;GO:0016021;GO:0016020,endoplasmic reticulum;endoplasmic reticulum membrane;integral component of membrane;membrane,GO:0004169,dolichyl-phosphate-mannose-protein mannosyltransferase activity,GO:0006493,protein O-linked glycosylation,GO:0005634,nucleus,null,null,null,null,2.4.1.109 (Dolichyl-phosphate-mannose--protein mannosyltransferase),2.4.1.109 (Dolichyl-phosphate-mannose--protein mannosyltransferase)
PF3D7_1010800,"Pf3D7_10_v3:424,866..425,765(-)","50S ribosomal protein L22, mitochondrial, putative",GO:0005840,ribosome,GO:0003735,structural constituent of ribosome,GO:0006412,translation,null,null,null,null,null,null,null,null
PF3D7_1010900,"Pf3D7_10_v3:426,601..428,146(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1011000,"Pf3D7_10_v3:429,204..430,140(-)",inner membrane complex sub-compartment protein 1,null,null,null,null,null,null,GO:0045177;GO:0005829;GO:0070258,apical part of cell;cytosol;inner membrane pellicle complex,null,null,null,null,null,null
PF3D7_1011100,"Pf3D7_10_v3:432,505..435,570(-)","conserved Plasmodium protein, unknown function",GO:0005737;GO:0016021;GO:0016020,cytoplasm;integral component of membrane;membrane,GO:0005524;GO:0003723;GO:0008234;GO:0004519;GO:0004527;GO:0004386;GO:0016779;GO:0008233;GO:0008270,ATP binding;RNA binding;cysteine-type peptidase activity;endonuclease activity;exonuclease activity;helicase activity;nucleotidyltransferase activity;peptidase activity;zinc ion binding,GO:0006508,proteolysis,null,null,null,null,null,null,null,null
PF3D7_1011200,"Pf3D7_10_v3:436,958..437,708(+)","BET1-like protein, putative, unspecified product",GO:0005794;GO:0000139;GO:0016021,Golgi apparatus;Golgi membrane;integral component of membrane,null,null,GO:0015031;GO:0016192,protein transport;vesicle-mediated transport,GO:0031201,SNARE complex,GO:0005484,SNAP receptor activity,null,null,null,null
PF3D7_1011200,"Pf3D7_10_v3:436,958..437,708(+)","BET1-like protein, putative, unspecified product",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1011300,"Pf3D7_10_v3:438,446..440,380(+)","protein ARV1, putative",GO:0016021,integral component of membrane,null,null,GO:0006665;GO:0006810,sphingolipid metabolic process;transport,null,null,null,null,null,null,null,null
PF3D7_1011400,"Pf3D7_10_v3:441,140..441,955(-)",proteasome subunit beta type-5,GO:0005839,proteasome core complex,GO:0004298,threonine-type endopeptidase activity,GO:0051603,proteolysis involved in cellular protein catabolic process,GO:0005737;GO:0005634;GO:0005839,cytoplasm;nucleus;proteasome core complex,GO:0004175,endopeptidase activity,GO:0006511,ubiquitin-dependent protein catabolic process,3.4.25.1 (Proteasome endopeptidase complex),3.4.25.1 (Proteasome endopeptidase complex)
PF3D7_1011500,"Pf3D7_10_v3:443,874..444,401(-)","conserved protein, unknown function",null,null,null,null,null,null,GO:0009986;GO:0016021,cell surface;integral component of membrane,null,null,null,null,null,null
PF3D7_1011600,"Pf3D7_10_v3:445,164..447,125(-)","heptatricopeptide repeat-containing protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1011700,"Pf3D7_10_v3:449,154..450,323(+)","DNA repair protein RAD23, putative",GO:0005634,nucleus,GO:0003684;GO:0005515,damaged DNA binding;protein binding,GO:0006289;GO:0043161,nucleotide-excision repair;proteasome-mediated ubiquitin-dependent protein catabolic process,null,null,GO:0003684,damaged DNA binding,GO:0006289,nucleotide-excision repair,null,null
PF3D7_1011800,"Pf3D7_10_v3:455,398..458,817(+)",PRE-binding protein,null,null,GO:0003723;GO:0003676,RNA binding;nucleic acid binding,null,null,GO:0005634,nucleus,GO:0003700;GO:0003690,DNA-binding transcription factor activity;double-stranded DNA binding,GO:0006355,"regulation of transcription, DNA-templated",null,null
PF3D7_1011900,"Pf3D7_10_v3:460,335..461,993(-)",heme oxygenase,null,null,GO:0005524,ATP binding,null,null,null,null,GO:0004392,heme oxygenase (decyclizing) activity,null,null,null,1.14.99.3 (Heme oxygenase (biliverdin-producing))
PF3D7_1012000,"Pf3D7_10_v3:463,493..467,006(+)","RING zinc finger protein, putative",null,null,GO:0046872,metal ion binding,null,null,null,null,null,null,null,null,6.3.2.19 (Ubiquitin--protein ligase),6.3.2.19 (Ubiquitin--protein ligase)
PF3D7_1012100,"Pf3D7_10_v3:468,071..469,536(-)","conserved protein, unknown function",GO:0005737,cytoplasm,GO:0005524,ATP binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1012200,"Pf3D7_10_v3:470,979..471,933(+)",rhoptry associated adhesin,null,null,null,null,null,null,GO:0009986;GO:0020008,cell surface;rhoptry,GO:0046812,host cell surface binding,GO:0030260,entry into host cell,null,null
PF3D7_1012300,"Pf3D7_10_v3:472,546..473,386(-)","cytochrome b-c1 complex subunit 7, putative",GO:0005750,mitochondrial respiratory chain complex III,null,null,GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",GO:0005739,mitochondrion,null,null,null,null,1.10.2.2 (Quinol--cytochrome-c reductase),1.10.2.2 (Quinol--cytochrome-c reductase)
PF3D7_1012400,"Pf3D7_10_v3:475,327..476,563(-)",hypoxanthine-guanine phosphoribosyltransferase,GO:0005737,cytoplasm,GO:0004422,hypoxanthine phosphoribosyltransferase activity,GO:0009116;GO:0006166,nucleoside metabolic process;purine ribonucleoside salvage,null,null,GO:0004422,hypoxanthine phosphoribosyltransferase activity,GO:0006166,purine ribonucleoside salvage,2.4.2.8 (Hypoxanthine phosphoribosyltransferase),2.4.2.8 (Hypoxanthine phosphoribosyltransferase)
PF3D7_1012500,"Pf3D7_10_v3:478,758..480,539(-)","phosphoglucomutase, putative",null,null,GO:0016868;GO:0000287,"intramolecular transferase activity, phosphotransferases;magnesium ion binding",GO:0005975;GO:0071704,carbohydrate metabolic process;organic substance metabolic process,null,null,null,null,null,null,"5.4.2.2 (Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent))","5.4.2.2 (Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent))"
PF3D7_1012600,"Pf3D7_10_v3:482,527..484,194(-)",GMP synthase [glutamine-hydrolyzing],null,null,GO:0005524;GO:0003922;GO:0016462,ATP binding;GMP synthase (glutamine-hydrolyzing) activity;pyrophosphatase activity,GO:0006177;GO:0006164,GMP biosynthetic process;purine nucleotide biosynthetic process,null,null,GO:0003921,GMP synthase activity,GO:0006164,purine nucleotide biosynthetic process,6.3.5.2 (GMP synthase (glutamine-hydrolyzing)),6.3.5.2 (GMP synthase (glutamine-hydrolyzing))
PF3D7_1012700,"Pf3D7_10_v3:487,252..491,828(+)","NLI interacting factor-like phosphatase, putative",null,null,null,null,null,null,GO:0005634,nucleus,null,null,GO:0042493,response to drug,3.1.3.16 (Protein-serine/threonine phosphatase),3.1.3.16 (Protein-serine/threonine phosphatase)
PF3D7_1012800,"Pf3D7_10_v3:492,550..495,144(+)","conserved Plasmodium protein, unknown function",GO:0016020,membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1012900,"Pf3D7_10_v3:496,331..497,573(-)",autophagy-related protein 18,null,null,GO:0005515,protein binding,null,null,GO:0031410,cytoplasmic vesicle,GO:0032266,phosphatidylinositol-3-phosphate binding,GO:0042493,response to drug,null,null
PF3D7_1013000,"Pf3D7_10_v3:500,210..502,221(+)","zinc finger protein, putative",GO:0005737;GO:0016020;GO:0005634,cytoplasm;membrane;nucleus,GO:0005515;GO:0008270,protein binding;zinc ion binding,GO:0007275;GO:0006511,multicellular organism development;ubiquitin-dependent protein catabolic process,GO:0071944,cell periphery,null,null,null,null,null,null
PF3D7_1013100,"Pf3D7_10_v3:502,634..506,392(-)","U3 small nucleolar RNA-associated protein 13, putative",GO:0032040,small-subunit processome,GO:0005515,protein binding,GO:0006364,rRNA processing,GO:0005730;GO:0032040,nucleolus;small-subunit processome,null,null,null,null,null,null
PF3D7_1013200,"Pf3D7_10_v3:511,084..514,278(+)","conserved Plasmodium protein, unknown function",GO:0005737;GO:0005576,cytoplasm;extracellular region,GO:0005198,structural molecule activity,GO:0006817,phosphate ion transport,null,null,null,null,null,null,null,null
PF3D7_1013300,"Pf3D7_10_v3:515,721..517,607(-)","conserved Plasmodium protein, unknown function",GO:0016021;GO:0016020,integral component of membrane;membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1013400,"Pf3D7_10_v3:518,542..522,252(-)","conserved Plasmodium protein, unknown function",GO:0005737,cytoplasm,GO:0005524,ATP binding,null,null,null,null,null,null,null,null,null,null
PF3D7_1013500,"Pf3D7_10_v3:526,840..531,448(+)",phosphoinositide-specific phospholipase C,GO:0005938,cell cortex,GO:0004435;GO:0005543;GO:0008081;GO:0005515,phosphatidylinositol phospholipase C activity;phospholipid binding;phosphoric diester hydrolase activity;protein binding,GO:0032065;GO:0035556;GO:0006629;GO:0007165,cortical protein anchoring;intracellular signal transduction;lipid metabolic process;signal transduction,null,null,GO:0004435;GO:0004629,phosphatidylinositol phospholipase C activity;phospholipase C activity,GO:0035556;GO:0006644,intracellular signal transduction;phospholipid metabolic process,3.1.4.11 (Phosphoinositide phospholipase C),3.1.4.11 (Phosphoinositide phospholipase C)
PF3D7_1013600,"Pf3D7_10_v3:533,109..539,825(+)","conserved Plasmodium protein, unknown function",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1013700,"Pf3D7_10_v3:540,622..541,694(+)","conserved Plasmodium protein, unknown function",null,null,null,null,null,null,GO:0005737,cytoplasm,null,null,null,null,null,null
PF3D7_1013800,"Pf3D7_10_v3:542,359..544,779(+)","conserved Plasmodium protein, unknown function",GO:0016020;GO:0005634,membrane;nucleus,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1013900,"Pf3D7_10_v3:545,679..548,903(-)","translation initiation factor eIF-2B subunit delta, putative",null,null,null,null,GO:0044237,cellular metabolic process,GO:0005851,eukaryotic translation initiation factor 2B complex,GO:0003743,translation initiation factor activity,GO:0006446,regulation of translational initiation,null,null
PF3D7_1014000,"Pf3D7_10_v3:550,839..552,571(-)",GDP-L-fucose synthase,null,null,GO:0003824;GO:0050662,catalytic activity;coenzyme binding,null,null,GO:0005737,cytoplasm,GO:0050577;GO:0016491;GO:0016857,"GDP-L-fucose synthase activity;oxidoreductase activity;racemase and epimerase activity, acting on carbohydrates and derivatives",GO:0009225;GO:0006486,nucleotide-sugar metabolic process;protein glycosylation,1.1.1.271 (GDP-L-fucose synthase),1.1.1.271 (GDP-L-fucose synthase)
PF3D7_1014100,"Pf3D7_10_v3:555,160..559,527(+)","merozoite surface protein MSA180, putative",null,null,null,null,null,null,GO:0009986;GO:0005737;GO:1903561,cell surface;cytoplasm;extracellular vesicle,null,null,null,null,null,null
PF3D7_1014200,"Pf3D7_10_v3:560,538..563,353(+)","male gamete fusion factor HAP2, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1014300,"Pf3D7_10_v3:565,805..573,060(+)","SPRY domain-containing protein, putative",null,null,GO:0005515,protein binding,null,null,GO:0016020,membrane,null,null,null,null,null,null
PF3D7_1014400,"Pf3D7_10_v3:574,129..575,103(+)",MO15-related protein kinase,null,null,GO:0005524;GO:0004672,ATP binding;protein kinase activity,GO:0006468,protein phosphorylation,GO:0005634,nucleus,GO:0004693;GO:0005515,cyclin-dependent protein serine/threonine kinase activity;protein binding,GO:0006468;GO:0051726,protein phosphorylation;regulation of cell cycle,2.7.11.22 (Cyclin-dependent kinase),2.7.11.22 (Cyclin-dependent kinase)
PF3D7_1014500,"Pf3D7_10_v3:576,579..580,478(+)","conserved Plasmodium protein, unknown function",GO:0016020,membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1014600,"Pf3D7_10_v3:581,354..589,090(-)",transcriptional coactivator ADA2,GO:0016020,membrane,GO:0003677;GO:0008270,DNA binding;zinc ion binding,null,null,null,null,GO:0003700;GO:0005515,DNA-binding transcription factor activity;protein binding,GO:0006355,"regulation of transcription, DNA-templated",null,null
PF3D7_1014700,"Pf3D7_10_v3:595,308..596,222(+)","prohibitin 2, putative",GO:0016020,membrane,null,null,null,null,GO:0005739,mitochondrion,null,null,null,null,null,null
PF3D7_1014800,"Pf3D7_10_v3:596,497..600,413(-)","conserved Plasmodium protein, unknown function",GO:0005634,nucleus,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1014900,"Pf3D7_10_v3:600,970..607,809(-)","conserved Plasmodium protein, unknown function",GO:0005737;GO:0016020;GO:0016459,cytoplasm;membrane;myosin complex,GO:0005524;GO:0003779;GO:0005516;GO:0003774,ATP binding;actin binding;calmodulin binding;motor activity,null,null,null,null,null,null,null,null,null,null
PF3D7_1015000,"Pf3D7_10_v3:611,213..612,199(+)","FAD synthetase, putative",null,null,GO:0003824,catalytic activity,GO:0008152,metabolic process,null,null,GO:0003919,FMN adenylyltransferase activity,GO:0006747,FAD biosynthetic process,2.7.7.2 (FAD synthetase),2.7.7.2 (FAD synthetase)
PF3D7_1015100,"Pf3D7_10_v3:612,685..613,875(-)","CWC16 domain-containing protein, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1015200,"Pf3D7_10_v3:614,872..617,736(-)",cysteine--tRNA ligase,null,null,GO:0005524;GO:0004812;GO:0004817;GO:0000166,ATP binding;aminoacyl-tRNA ligase activity;cysteine-tRNA ligase activity;nucleotide binding,GO:0006423;GO:0006418,cysteinyl-tRNA aminoacylation;tRNA aminoacylation for protein translation,GO:0020011,apicoplast,null,null,null,null,6.1.1.16 (Cysteine--tRNA ligase),6.1.1.16 (Cysteine--tRNA ligase)
PF3D7_1015200,"Pf3D7_10_v3:614,872..617,736(-)",cysteine--tRNA ligase,null,null,GO:0005524;GO:0004812;GO:0004817;GO:0000166,ATP binding;aminoacyl-tRNA ligase activity;cysteine-tRNA ligase activity;nucleotide binding,GO:0006423;GO:0006418,cysteinyl-tRNA aminoacylation;tRNA aminoacylation for protein translation,GO:0020011,apicoplast,null,null,null,null,6.1.1.16 (Cysteine--tRNA ligase),6.1.1.16 (Cysteine--tRNA ligase)
PF3D7_1015200,"Pf3D7_10_v3:614,872..617,736(-)",cysteine--tRNA ligase,null,null,GO:0005524;GO:0004812;GO:0004817;GO:0000166,ATP binding;aminoacyl-tRNA ligase activity;cysteine-tRNA ligase activity;nucleotide binding,GO:0006423;GO:0006418,cysteinyl-tRNA aminoacylation;tRNA aminoacylation for protein translation,GO:0005829;GO:0005634,cytosol;nucleus,null,null,null,null,6.1.1.16 (Cysteine--tRNA ligase),6.1.1.16 (Cysteine--tRNA ligase)
PF3D7_1015300,"Pf3D7_10_v3:618,440..619,993(+)","methionine aminopeptidase 1b, putative",null,null,GO:0004177;GO:0008235,aminopeptidase activity;metalloexopeptidase activity,GO:0006508,proteolysis,null,null,GO:0008235,metalloexopeptidase activity,GO:0006508,proteolysis,3.4.11.18 (Methionyl aminopeptidase),3.4.11.18 (Methionyl aminopeptidase)
PF3D7_1015400,"Pf3D7_10_v3:621,305..623,626(+)","conserved Plasmodium protein, unknown function",GO:0016020,membrane,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1015500,"Pf3D7_10_v3:624,048..625,895(-)","nucleotidyltransferase, putative",GO:0005634,nucleus,GO:0003723;GO:0016779;GO:0004652,RNA binding;nucleotidyltransferase activity;polynucleotide adenylyltransferase activity,GO:0031123;GO:0006397,RNA 3'-end processing;mRNA processing,null,null,null,null,null,null,null,2.7.7.52 (RNA uridylyltransferase)
PF3D7_1015600,"Pf3D7_10_v3:627,044..629,040(-)",heat shock protein 60,GO:0005737,cytoplasm,GO:0005524,ATP binding,GO:0042026,protein refolding,GO:0005737;GO:0020020;GO:0005739;GO:0005634,cytoplasm;food vacuole;mitochondrion;nucleus,GO:0042623;GO:0005515,"ATPase activity, coupled;protein binding",GO:0006457;GO:0006626;GO:0006986,protein folding;protein targeting to mitochondrion;response to unfolded protein,null,null
PF3D7_1015700,"Pf3D7_10_v3:629,909..632,061(-)","tubulin binding cofactor c, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1015700,"Pf3D7_10_v3:629,909..632,061(-)","tubulin binding cofactor c, putative",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_1015800,"Pf3D7_10_v3:633,682..635,286(+)","ribonucleoside-diphosphate reductase small chain, putative",null,null,null,null,GO:0009186;GO:0055114,deoxyribonucleoside diphosphate metabolic process;oxidation-reduction process,GO:0005971,ribonucleoside-diphosphate reductase complex,GO:0004748,"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor",GO:0006260;GO:0009263,DNA replication;deoxyribonucleotide biosynthetic process,1.17.4.1 (Ribonucleoside-diphosphate reductase),1.17.4.1 (Ribonucleoside-diphosphate reductase)
PF3D7_1015900,"Pf3D7_10_v3:637,138..639,011(+)",enolase,GO:0000015,phosphopyruvate hydratase complex,GO:0000287;GO:0004634,magnesium ion binding;phosphopyruvate hydratase activity,GO:0006096,glycolytic process,GO:0009986;GO:0005737;GO:0005856;GO:0020020;GO:0005634;GO:0005886,cell surface;cytoplasm;cytoskeleton;food vacuole;nucleus;plasma membrane,GO:0004634;GO:0005515,phosphopyruvate hydratase activity;protein binding,GO:0002253;GO:0000045;GO:0006094;GO:0006096;GO:0006351,"activation of immune response;autophagosome assembly;gluconeogenesis;glycolytic process;transcription, DNA-templated",4.2.1.11 (Phosphopyruvate hydratase),4.2.1.11 (Phosphopyruvate hydratase)
PF3D7_1016000,"Pf3D7_10_v3:641,390..642,751(+)","conserved Plasmodium protein, unknown function",GO:0005737;GO:0005886,cytoplasm;plasma membrane,GO:0005524,ATP binding,null,null,null,null,null,null,null,null,null,null
